iter	Passed	Remaining
0	48	48820
1	50	25049
2	51	16999
3	52	12962
4	53	10548
5	53	8914
6	54	7739
7	55	6873
8	56	6184
9	57	5664
10	58	5222
11	59	4858
12	59	4546
13	60	4277
14	61	4048
15	62	3844
16	63	3675
17	64	3527
18	65	3398
19	66	3273
20	67	3155
21	68	3053
22	69	2963
23	70	2876
24	71	2805
25	72	2734
26	74	2667
27	74	2602
28	76	2545
29	77	2492
30	78	2439
31	79	2391
32	80	2346
33	81	2307
34	82	2266
35	83	2226
36	84	2190
37	85	2155
38	86	2123
39	87	2093
40	88	2062
41	89	2035
42	90	2009
43	91	1985
44	92	1960
45	93	1941
46	94	1922
47	95	1901
48	96	1880
49	98	1864
50	99	1845
51	100	1827
52	101	1810
53	102	1793
54	103	1776
55	104	1759
56	105	1742
57	106	1729
58	107	1714
59	108	1701
60	109	1689
61	110	1676
62	111	1662
63	112	1649
64	113	1637
65	114	1627
66	115	1615
67	116	1596
68	117	1585
69	118	1574
70	119	1563
71	120	1551
72	121	1540
73	122	1528
74	123	1517
75	123	1507
76	124	1496
77	125	1486
78	126	1475
79	127	1465
80	128	1455
81	129	1447
82	130	1438
83	130	1428
84	131	1416
85	132	1407
86	132	1395
87	133	1385
88	134	1376
89	135	1366
90	135	1357
91	136	1348
92	137	1338
93	137	1329
94	138	1319
95	139	1310
96	139	1300
97	140	1291
98	140	1281
99	141	1273
100	142	1264
101	142	1252
102	142	1244
103	143	1235
104	143	1226
105	144	1217
106	144	1209
107	145	1202
108	146	1194
109	146	1187
110	147	1179
111	147	1171
112	148	1164
113	148	1157
114	149	1149
115	149	1141
116	150	1133
117	150	1126
118	151	1118
119	151	1111
120	151	1104
121	152	1097
122	152	1088
123	153	1081
124	153	1074
125	153	1067
126	154	1061
127	154	1053
128	155	1047
129	155	1040
130	155	1033
131	156	1027
132	156	1021
133	157	1015
134	157	1009
135	157	1002
136	158	996
137	158	990
138	158	984
139	159	978
140	159	972
141	160	967
142	160	961
143	160	956
144	161	950
145	161	945
146	161	939
147	162	933
148	162	928
149	162	922
150	163	917
151	163	912
152	163	906
153	164	901
154	164	896
155	164	890
156	164	885
157	165	880
158	165	876
159	165	870
160	166	866
161	166	862
162	166	857
163	167	852
164	167	847
165	167	842
166	167	837
167	168	833
168	168	828
169	168	823
170	169	819
171	169	815
172	169	810
173	169	806
174	170	801
175	170	797
176	170	793
177	170	789
178	171	785
179	171	781
180	171	776
181	171	772
182	172	768
183	172	764
184	172	760
185	172	756
186	173	753
187	173	749
188	173	745
189	174	741
190	174	738
191	174	734
192	174	731
193	175	727
194	175	724
195	175	720
196	175	717
197	176	713
198	176	710
199	176	706
200	176	703
201	177	700
202	177	696
203	177	693
204	178	690
205	178	687
