iter	Passed	Remaining
0	47	47831
1	49	24672
2	50	16914
3	52	13008
4	53	10633
5	54	9002
6	55	7859
7	56	7002
8	57	6358
9	58	5816
10	59	5376
11	60	5012
12	61	4704
13	63	4443
14	64	4231
15	65	4026
16	66	3868
17	68	3741
18	69	3610
19	71	3481
20	72	3367
21	73	3266
22	74	3171
23	75	3090
24	77	3009
25	78	2933
26	79	2866
27	80	2804
28	82	2751
29	83	2696
30	84	2646
31	86	2603
32	87	2563
33	88	2515
34	89	2474
35	91	2441
36	92	2412
37	94	2384
38	95	2352
39	96	2319
40	97	2291
41	99	2267
42	100	2239
43	102	2216
44	103	2189
45	104	2156
46	105	2131
47	106	2106
48	107	2085
49	109	2072
50	110	2051
51	111	2035
52	112	2016
53	114	2001
54	115	1985
55	116	1966
56	117	1948
57	119	1934
58	120	1918
59	121	1906
60	122	1892
61	124	1879
62	125	1867
63	126	1854
64	127	1840
65	129	1827
66	130	1817
67	131	1802
68	132	1788
69	133	1777
70	134	1764
71	136	1755
72	137	1746
73	138	1734
74	139	1726
75	141	1716
76	142	1705
77	143	1693
78	144	1683
79	145	1671
80	146	1659
81	147	1648
82	147	1631
83	148	1619
84	149	1610
85	150	1601
86	151	1590
87	152	1579
88	153	1567
89	153	1556
90	154	1545
91	155	1533
92	156	1522
93	156	1511
94	157	1502
95	158	1493
96	159	1483
97	160	1472
98	160	1462
99	161	1452
100	161	1441
101	162	1432
102	163	1421
103	163	1411
104	164	1402
105	165	1391
106	165	1382
107	166	1372
108	166	1363
109	167	1354
110	167	1344
111	168	1334
112	168	1324
113	169	1315
114	170	1310
115	170	1301
116	171	1291
117	171	1282
118	171	1273
119	172	1264
120	172	1255
121	173	1246
122	173	1237
123	173	1229
124	174	1220
125	174	1212
126	175	1203
127	175	1195
128	175	1187
129	176	1180
130	176	1172
131	177	1164
132	177	1156
133	177	1149
134	178	1141
135	178	1134
136	179	1127
137	179	1120
138	179	1113
139	180	1107
140	180	1100
141	180	1092
142	181	1086
143	181	1079
144	182	1073
145	182	1067
146	182	1061
147	183	1055
148	183	1049
149	184	1043
150	184	1038
151	185	1034
152	185	1029
153	186	1023
154	186	1018
155	187	1013
156	187	1009
157	188	1004
158	188	999
159	189	994
160	189	988
161	190	983
162	190	978
163	190	973
164	191	968
165	191	963
166	192	958
167	192	954
168	193	949
169	193	945
170	194	940
171	194	936
172	194	931
173	195	927
174	195	922
175	196	918
176	196	913
177	196	909
178	197	905
179	197	901
180	198	896
181	198	892
182	199	888
183	199	884
184	199	880
185	200	876
186	200	871
187	200	867
188	201	863
189	201	859
190	202	856
191	202	852
192	202	848
193	203	844
194	203	840
195	204	837
196	204	833
197	204	829
198	205	826
199	205	822
200	206	819
201	206	815
202	206	812
203	207	808
204	207	805
205	208	801
206	208	798
207	208	795
208	209	791
209	209	788
210	210	785
211	210	782
212	210	779
213	211	776
214	211	773
215	212	770
216	212	766
217	212	763
218	213	760
219	213	758
220	214	755
221	214	752
222	215	749
223	215	746
224	215	743
225	216	740
226	216	737
227	217	735
228	217	732
229	217	729
230	218	726
231	218	724
232	219	721
233	219	718
234	219	715
235	220	713
236	220	710
237	221	707
238	221	704
239	221	702
240	222	699
241	222	696
242	222	694
243	223	691
244	223	689
245	224	686
246	224	684
247	224	681
248	225	679
249	225	677
250	226	674
251	226	672
252	227	670
253	227	668
254	227	666
255	228	663
256	228	661
257	229	659
258	229	657
259	230	654
260	230	652
261	230	650
262	231	648
263	231	645
264	232	643
265	232	641
266	232	639
267	233	637
268	233	634
269	234	632
270	234	630
271	234	628
272	235	626
273	235	624
274	235	622
275	236	619
276	236	617
277	237	615
278	237	613
279	237	611
280	238	609
281	238	607
282	239	605
283	239	603
284	239	601
285	240	599
286	240	598
287	241	596
288	241	594
289	241	592
290	242	590
291	242	588
292	243	586
293	243	584
294	243	583
295	244	581
296	244	579
297	245	577
298	245	575
299	245	573
300	246	572
301	246	570
302	247	568
303	247	566
304	247	565
305	248	563
306	248	561
307	249	559
308	249	558
309	249	556
310	250	554
311	250	552
312	251	551
313	251	549
314	251	547
315	252	546
316	252	544
317	253	542
318	253	541
319	253	539
320	254	537
321	254	536
322	255	534
323	255	533
324	255	531
325	256	529
326	256	528
327	257	526
328	257	525
329	257	523
330	258	522
331	258	520
332	259	519
333	259	517
334	259	516
335	260	514
336	260	513
337	261	511
338	261	509
339	261	508
340	262	506
341	262	505
342	263	503
343	263	502
344	263	500
345	264	499
346	264	498
347	265	496
348	265	495
349	265	493
350	266	492
351	266	490
352	266	489
353	267	487
354	267	486
355	268	485
356	268	483
357	268	482
358	269	480
359	269	479
360	270	478
361	270	476
362	270	475
363	271	474
364	271	472
365	272	471
366	272	470
367	272	468
368	273	467
369	273	466
370	274	464
371	274	463
372	274	462
373	275	460
374	275	459
375	276	458
376	276	457
377	276	455
378	277	454
379	277	453
380	278	451
381	278	450
382	278	449
383	279	447
384	279	446
385	280	445
386	280	444
387	280	442
388	281	441
389	281	440
390	281	439
391	282	437
392	282	436
393	283	435
394	283	434
395	283	433
396	284	431
397	284	430
398	285	429
399	285	428
400	285	427
401	286	425
402	286	424
403	287	423
404	287	422
405	287	421
406	288	419
407	288	418
408	288	417
409	289	416
410	289	415
411	290	414
412	290	413
413	290	411
414	291	410
415	291	409
416	292	408
417	292	407
418	292	406
419	293	404
420	293	403
421	293	402
422	294	401
423	294	400
424	295	399
425	295	398
426	295	397
427	296	395
428	296	394
429	297	393
430	297	392
431	297	391
432	298	390
433	298	389
434	298	388
435	299	387
436	299	386
437	300	385
438	300	384
439	300	382
440	301	381
441	301	380
442	302	379
443	302	378
444	302	377
445	303	376
446	303	375
447	304	374
448	304	373
449	304	372
450	305	371
451	305	370
452	306	369
453	306	368
454	306	367
455	307	366
456	307	365
457	308	364
458	308	363
459	308	362
460	309	361
461	309	360
462	310	359
463	310	358
464	310	357
465	311	356
466	311	355
467	312	354
468	312	353
469	312	352
470	313	351
471	313	350
472	314	349
473	314	348
474	314	347
475	315	346
476	315	345
477	315	345
478	316	344
479	316	343
480	317	342
481	317	341
482	317	340
483	318	339
484	318	338
485	319	337
486	319	336
487	319	335
488	320	334
489	320	333
490	321	332
491	321	331
492	321	331
493	322	330
494	322	329
495	323	328
496	323	327
497	323	326
498	324	325
499	324	324
500	325	323
501	325	322
502	325	322
503	326	321
504	326	320
505	327	319
506	327	318
507	327	317
508	328	316
509	328	315
510	329	314
511	329	314
512	329	313
513	330	312
514	330	311
515	331	310
516	331	309
517	332	308
518	332	308
519	332	307
520	333	306
521	333	305
522	333	304
523	334	303
524	334	302
525	335	302
526	335	301
527	335	300
528	336	299
529	336	298
530	337	297
531	337	296
532	337	296
533	338	295
534	338	294
535	339	293
536	339	292
537	339	291
538	340	291
539	340	290
540	341	289
541	341	288
542	341	287
543	342	286
544	342	286
545	343	285
546	343	284
547	343	283
548	344	282
549	344	281
550	344	281
551	345	280
552	345	279
553	346	278
554	346	277
555	347	277
556	347	276
557	347	275
558	348	274
559	348	274
560	349	273
561	349	272
562	350	271
563	350	270
564	350	270
565	351	269
566	351	268
567	352	267
568	352	266
569	352	266
570	353	265
571	353	264
572	354	263
573	354	263
574	354	262
575	355	261
